Titre;Temps Total;Temps Préparation;Temps Cuisson;Nombre de personnes;Difficulté;Coût;Ingrédients;Étapes;Ustensiles;Liens_recette
Punch d'Halloween sans alcool;15 min;15 min;-;15;facile;bon marché;"['1 orange', ""1 l de jus d'orange"", ""1 l de jus d'ananas"", '2 pommes', '2 citrons', '70 cl de limonade']";"['Dans un grand saladier, mélanger les jus.', 'Laver les fruits et les détailler en morceaux avant de les mettre sans le récipient.', ""Presser le jus des citrons et l'ajouter au saladier."", 'Réserver au frais pendant 30 minutes.', 'Au moment de servir, allonger avec la limonade.', 'Servir avec des glaçons au sirop de grenadine pour un effet ensanglanté.']";['1 saladier'];https://www.marmiton.org/recettes/recette_punch-d-halloween-sans-alccol_534541.aspx
Chocolat chaud onctueux;1 h;30 min;30 min;6;très facile;bon marché;"['150 g de sucre', '50 g de cacao amer (type Van Houten)', ""zeste d' orange"", '2 l de lait entier']";['Délayer le cacao dans 25 cl de lait froid. Faire chauffer et ajouter le reste du lait. Au bout de 5 mn, incorporer le sucre tout en remuant. Porter à ébullition. Laisser bouillir en surveillant et en remuant pendant 25 mn environ.', 'Après 20 mn de cuisson, incorporer le zeste. Lorsque le liquide devient crémeux et qu’il nappe la cuillère, c’est prêt.', 'La préparation à pratiquement diminué de moitié. Servir pendant que c’est chaud.'];['1 casserole', '1 Fouet cuisine', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_chocolat-chaud-onctueux_27046.aspx
Liqueur de noyaux d'abricots;10 min;10 min;-;1;très facile;moyen;"['400 g de sucre', '80 abricots', ""50 cl d' alcool à 90°"", ""50 cl d' eau""]";"['Chauffer l’eau et faire fondre le sucre, laisser refroidir.', ""Utiliser un récipient en verre avec couvercle à visser. Versez-y l'alcool et le sirop de sucre. Ajouter les noyaux d'abricots."", ""Laisser macérer à l'abri de la lumière environ 1 mois en secouant la bouteille de temps à autre."", 'Filtrer et mettre en bouteille.']";['1 Entonnoir', '1 casserole', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-noyaux-d-abricots_40366.aspx
Smoothie poires & bananes;10 min;10 min;-;2;facile;bon marché;['1 cuillère à café de gingembre pelée et hachée grossièrement', '1 banane', '2 poires mûres, dénoyautées et hachées grossièrement', '25 cl de lait écrémé', '10 glaçons', 'cannelle sur le dessus'];['Mixer les poires et la banane puis ajouter les glaçons, le lait et le gingembre. Mixer à nouveau. Servir saupoudré de cannelle.'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-poires-bananes_331223.aspx
Caffe shakerato (café glacé);10 min;10 min;-;4;très facile;bon marché;['40 cl de sucre de canne liquide', '4 café expresso', '10 cl de sirop de vanille', '4 glaçons'];['Préparer 4 cafés expresso. Laissez-les refroidir.', 'Répartir dans chaque verre le sirop de vanille.', 'Verser dans un shaker les 4 cafés, le sucre de canne liquide et les glaçons. Agiter quelques secondes et verser lentement le mélange dans les verres pour former deux niveaux.', 'Servir très frais.'];['1 sorbetière', '1 saladier', '1 shaker', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_caffe-shakerato-cafe-glace_25402.aspx
Smoothie Light à la Banane et à l'Avoine;5 min;5 min;-;2;très facile;bon marché;"['1 banane', '25 cl de lait de coco', '1 yaourt nature', ""1 verre d' avoine"", ""1 cuillère à café de sirop d'agave (facultatif)""]";"['Couper la banane en petits morceaux.', ""Mettre dans le mixeur, la banane, le yaourt nature, le lait, l'avoine et si vous le voulez le sirop d'agave. Mixer."", 'Verser le tout dans deux mugs et déguster.']";['1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-light-a-la-banane-et-a-l-avoine_372330.aspx
Jus de pastèque ultra rafraichissant;5 min;5 min;-;2;très facile;bon marché;['5 glaçons', '¼ pastèque', '1 cuillère à soupe de sirop de grenadine (facultatif)'];['Prendre un morceau de pastèque et le couper en morceaux afin de les mettre dans un blender.', 'Les mixer et les mettre dans un verre.', 'Enfin rajouter quelques glaçons et du sirop pour sucrer la préparation.'];['1 Couteau', '1 Mixeur', '1 blender'];https://www.marmiton.org/recettes/recette_jus-de-pasteque-ultra-rafraichissant_338334.aspx
Café Frappé;2 min;2 min;-;1;très facile;bon marché;['sucre à goût', '4 cuillères à soupe de lait en boîte (genre Gloria)', '1 cuillère de café café instantané', 'eau froide (environs 1/2 verre)', '3 glaçons'];"[""Mettre le tout dans le mixer et mixer jusqu'à ce que les glaçons soient pulverisés."", 'Et voila !', ""On peut aussi ajouter du sucre vanillé, de l'essence d'amandes etc, pour varier les parfums !""]";['1 Mixeur', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cafe-frappe_23997.aspx
Green smoothie énergétique;5 min;5 min;-;2;très facile;bon marché;['1 gingembre frais ou 1/2 cuillère à café de gingembre en poudre', '2 kiwis', '½ concombre', '2 pommes', '3 feuilles de salade'];"['Épluchez les fruits et les légumes, retirez le trognon des pommes et les extrémités des kiwis et du concombre, coupez-les en morceaux pas trop gros.', 'Rincez les feuilles de salade.', ""Passez le tout au blender, à l'extracteur ou à la centrifugeuse, selon votre équipement."", 'Consommez immédiatement.']";['1 blender'];https://www.marmiton.org/recettes/recette_green-smoothie-energetique_224200.aspx
Moon milk;7 min;2 min;5 min;1;très facile;bon marché;"['1 pincée de curcuma', '1 cuillère à café de miel liquide', '1 pincée de cardamome', '5 safran pistiles', ""1 tasse de lait d'amande"", '1 pincée de cannelle', '1 pincée de muscade rapée', ""1 pincée d' ashwagandha""]";"[""Faire chauffer le lait d'amande, lorsque le liquide arrive à frémissement ajouter les épices,et laisser bouillir quelques minutes."", 'Servir dans une tasse et ajouter la cuillère de miel. Laisser refroidir 5 min avant de déguster.']";[];https://www.marmiton.org/recettes/recette_moon-milk_392190.aspx
Lait de poule à l'Américaine;10 min;10 min;-;1;très facile;bon marché;"['4 cl de rhum ou de cognac', ""1 jaune d'oeuf"", '1 cl de sirop de sucre de canne', '10 cl de lait frais']";"[""Mixer quelques secondes les ingrédients avec de la glace pilée. Servir dans un 'tumbler'.""]";['1 Mixeur'];https://www.marmiton.org/recettes/recette_lait-de-poule-a-l-americaine_13336.aspx
Chocolat chaud martiniquais à la cannelle et au citron vert;30 min;30 min;-;15;moyenne;moyen;"['2 l de lait demi-écrémé', ""1 gousse de vanille ou 1 cuillère à soupe d'essence de vanille"", '1 boîte de lait concentré sucré', '1 bâton de cannelle ou cannelle en poudre', '1 citron vert (pour le zeste)', '3 cuillères à soupe de cacao en poudre', '1 boîte de lait concentré non sucré', '1 sachet de chocolat en poudre', 'cuillère à soupe de beurre de cacahuètes']";['Faire chauffer le lait 1/2 écrémé avec le lait concentré non sucré, la cannelle, le zeste de citron et la vanille.', 'Ensuite, ajouter le chocolat délayé dans un peu de lait chaud,.', 'Puis laisser consommer 10 minutes sous feu doux en remuant constamment, sans ébullition.', 'Ajouter le lait concentré sucré selon votre goût, puis incorporer le flan délayé dans un peu de lait.', 'L verser en remuant et ajouter le beurre de cacahuète.', 'Laisser 10-15 minutes toujours sous feu doux et remuer avec une cuillère en bois.'];['1 casserole', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_chocolat-de-premiere-communion-martiniquais_228326.aspx
Limoncello de Sicile;15 min;15 min;-;2;très facile;bon marché;"['400 g de sucre', '1 gousse de vanille', '5 citrons non traités', ""50 cl d' alcool à 90° non modifié"", ""50 cl d' eau""]";"[""Laver les citrons et prélever les zestes puis laisser décanter avec la gousse de vanille dans l'alcool pendant une durée de 10 jours."", 'Il faut utiliser un récipient pas trop grand et couvert.', ""Au bout de cette période, enlever la vanille et les zestes, faire un sirop avec le sucre et l'eau en amenant à ébullition. Une fois le sirop refroidi, le mélanger à l'alcool et remplir vos bouteilles.""]";['1 Cuillère en bois', '1 casserole', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_limoncello-de-sicile_73419.aspx
Dalgona matcha vegan (au lait de coco);10 min;10 min;-;2;très facile;bon marché;['80 g de sucre de canne', '2 cuillères à café de thé matcha en poudre', '400 ml de lait de coco', '400 ml de lait de coco (ou autre lait végétal)', 'glaçons'];"[""Mélangez la poudre de matcha avec le lait de coco puis montez faire mousser le tout à l'aide d'un batteur électrique."", 'incorporez le sucre puis battez à nouveau, la texture doit être onctueuse.', 'Dans un verre disposez quelques glaçons, le lait puis votre crème de matcha.']";['1 Batteur électrique', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_dalgona-matcha-vegan-au-lait-de-coco_527819.aspx
Café valdotain ou café de l'amitié;21 min;15 min;6 min;4;très facile;bon marché;"['3 cl de Liqueur (génépi, anisette, rhum, Cognac)', 'sucre', ""1 écorce d'orange"", '40 cl de café', '60 cl de grappa', '1 citron']";"[""Dans une petit casserole versez le café, la grappa, la liqueur le sucre, les écorces d'orange et de citron et portez au point d'ébullition."", 'Saupoudrer les bords de la coupe de sucre et de Grappa.', ""On verse le contenu dans la coupe, on le flambe en remuant jusqu'à ce que le sucre devienne caramélisé."", 'On met le couvercle et on passe la coupe en signe de grande amitié.']";['1 casserole', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cafe-valdotain-ou-cafe-de-l-amitie_20423.aspx
Cappuccino véritable;3 min;3 min;-;2;très facile;bon marché;['lait', '1 café fort', 'chocolat en poudre', '1 lait'];"['Préparer un café fort ou selon votre goût.', ""Lorsque le café est presque prêt, verser dans chaque tasse du lait à température ambiante (très important, s'il est trop froid la mousse ne monte pas, de même si c'est du lait chaud!)."", 'Faire mousser avec le mixer à mousse de lait. Attention, le volume doit au moins doubler!', 'Verser dessus très délicatement le café. Il doit rester de la mousse en surface.', 'Rebattre du lait dans un bol à part et rectifier la mousse.', 'Garnir avec une petite cuillère à café de chocolat en poudre.']";['1 Mixeur', '1 bol', '1 Fouet cuisine', '1 petite cuillère'];https://www.marmiton.org/recettes/recette_cappuccino-veritable_41473.aspx
Liqueur de Pruneaux de Mamiette;10 min;10 min;-;1;très facile;assez cher;['30 pruneaux', '30 morceaux de sucre', '1 l de thé bouillant', 'alcool pour fruits'];"[""Mettre les pruneaux dans un grand saladier et les recouvrir d'1 litre de thé bouillant, laissez 1 nuit."", 'Mettre dans un bocal de verre les pruneaux grossièrement égouttés avec le sucre.', ""Recouvrir d'alcool de fruits et attendre 30 jours avant de déguster.""]";['1 Entonnoir', '1 saladier', '1 Couvercle', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-pruneaux-de-mamiette_51561.aspx
Smoothie pastèque pomme;10 min;10 min;-;2;très facile;bon marché;"['3 cuillères à soupe de sucre de canne', '1 cuillère à café de vanille liquide', '1 demi de pastèque', '1 pomme', '1 cuillère à café de jus de citron vert', ""2 cuillères à soupe d' eau"", 'feuille de menthe']";"['Éplucher la pomme.', 'Mixer dans un blender la pastèque et la pomme coupées en petits carrés.', 'Ajouter le jus de citron, la vanille, le sucre et mélanger.', ""Ajouter l'eau et la menthe."", 'Servir frais avec des glaçons !']";['1 blender', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_smoothie-pasteque-pomme_348134.aspx
Vin chaud aux épices au Thermomix;11 min;11 min;-;4;très facile;bon marché;"['50 cl de vin rouge (bordeaux, bourgogne ou pinot noir)', 'sucre roux', '1 étoile de badiane', '1 clou de girofle', '5 g de gingembre frais', '1 pointe de couteau de muscade râpée', '1 orange', '1 cuillère à café de zeste de citron', ""1 cuillère à café de zeste d'orange"", '1 bâton de cannelle']";['Versez dans la cuve de votre Thermomix le vin, le sucre, la cannelle, la badiane, le clou de girofle, le gingembre pelé entier, la noix muscade et les zestes. Lancez la cuisson pendant 11 min / 105 °C / vit. 1.', 'Filtrez, puis servez accompagné de rondelles d’orange.'];['1 Thermomix', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_vin-chaud-aux-epices-au-thermomix_382902.aspx
Caribbean Mule simplifié;10 min;10 min;-;1;facile;bon marché;['3 cl de rhum ambré des îles Old Nick', '½ citron vert coupé en quartiers', '12 cl de Ginger beer', 'glaçons'];['Remplir le verre de glaçons pour le refroidir.', 'Dans un shaker mettre le citron vert, le rhum et quelques glaçons.', 'Shaker 10 secondes.', 'Verser en filtrant à l’aide d’un chinois.', 'Topper avec la ginger beer.', 'Déposer une rondelle de citron vert en guise de décoration.'];['1 chinois', '1 shaker'];https://www.marmiton.org/recettes/recette_caribbean-mule_533792.aspx
Smoothie framboise-nectarine;5 min;5 min;-;2;très facile;bon marché;['vanille', '2 nectarines', '8 framboises', '25 cl de jus de pomme (et/ou jus de pomme à la violette)', 'glaçons'];['Nettoyer et préparer les fruits.', 'Mettre tous les ingrédients dans un mixeur.', 'Ajouter les glaçons une fois la préparation servie.'];['1 blender', '1 Mixeur'];https://www.marmiton.org/recettes/recette_smoothie-framboise-nectarine_73122.aspx
Vin de cerise;1h10;1h10;-;1;très facile;bon marché;"['250 g de sucre', 'vanille', '1 l de vin rosé ou rouge', '75 feuilles de cerisier', ""10 cl d' alcool à 45°""]";['Cueillir les feuilles de cerisier après la fructification.', 'Mélanger tous les ingrédients dans un pot en grès, couvrir et laisser macérer quinze jours à trois semaines.', 'Filtrer et mettre en bouteille, laisser un peu vieillir avant de consommer.'];['1 Entonnoir', '1 Couvercle', '1 Cuillère en bois', '1 dénoyauteur'];https://www.marmiton.org/recettes/recette_vin-de-cerise_12576.aspx
Milk shake café-vanille;5 min;5 min;-;3;très facile;bon marché;"['150 g de sucre', '1 café emporté de la brasserie du coin', '20 cl de crème liquide légère', '50 cl de lait', '6 glaçons', ""1 cuillère à soupe d' arôme vanille""]";['Mettre tous les ingrédients dans un blender, mixer bien.', 'Déguster !'];['1 Mixeur', '1 blender'];https://www.marmiton.org/recettes/recette_milk-shake-cafe-vanille_310423.aspx
Smoothie Poire Passe-Crassane;5 min;5 min;-;6;très facile;bon marché;['1 orange pressée', '½ banane', '2 yaourts natures', '2 poires Passe-Crassane'];['Épluchez les poires, coupez-les en morceaux.', 'Mixez-les au blender avec le jus des oranges et le yaourt.', 'Servez dans des verres.'];['1 blender'];https://www.marmiton.org/recettes/recette_smoothie-poire-passe-crassane_171061.aspx
Café mousseux (cafetière italienne);5 min;5 min;-;3;très facile;bon marché;['2 cuillères à soupe de sucre en poudre environ', '2 cuillères à soupe de café environ'];['Lorsque que le café commence à bouillir dans la cafetière italienne, prélever environ deux cuillères à soupe de café que vous mélangerez à environ 2 cuillères à soupe de sucre en poudre.', 'Mélangez brièvement mais énergiquement le tout. Dès que le café sera prêt, versez dans chaque tasse une bonne cuillère à café du mélange et vous obtiendrez une jolie mousse appétissante sur votre café.'];['1 Cuillère en bois', '1 saladier', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_cafe-mousseux-cafetiere-italienne_29789.aspx
Chocolat chaud fouetté;10 min;5 min;5 min;2;facile;bon marché;"['75 g de sucre', '30 g de cacao amer', ""5 ml d' extrait de vanille"", '1 pincée de sel', '60 g de chocolat noir à pâtisser, coupé en carrés', '25 cl de lait', '25 cl de crème épaisse']";"[""1. Dans une petite casserole, réchauffer le lait à feu doux jusqu'à ce qu'il commence à fumer."", ""Ajouter le sucre, le cacao, la vanille et le sel. Remuer à l'aide d'un fouet à main jusqu'à ce que le mélange soit homogène et lisse."", ""2. Ajouter les carrés de chocolat. Remuer au fouet jusqu'à ce qu'ils soient complètement fondus. Retirer du feu et laisser refroidir."", '3. Avec précaution, intégrer la crème fouettée au chocolat. Servir sans attendre dans une grande tasse (si vous le transportez dans une Thermos, le résultat sera moins probant).']";['1 Fouet cuisine', '1 casserole', '1 saladier', '1 Cuillère en bois', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_chocolat-chaud-fouette_73390.aspx
